Metric		Current
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		55
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		25.11
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		55
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		150
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_PERCENTAGE		68.49
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_COUNT		23
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_LOC		14
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_PERCENTAGE		6.39
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_LOC		55
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_PERCENTAGE		25.11
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		150
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		68.49
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_COUNT		23
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		14
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_PERCENTAGE		6.39
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		55
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_PERCENTAGE		25.11
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		0
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES		205
DUPLICATION_PERCENTAGE		0
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SRC		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SRC		0
DUPLICATION_PERCENTAGE_PRIMARY_SRC		-
TOTAL_ANALYSIS_TIME_IN_MILLIS		92
